Class,Area,Compactness,Eccentricity
SCC,1514,1.9667562337784408,0.8319690773417718
SCC,2743,2.105854474088346,0.0
HSIL,4776,4.37564675839587,1.0215351915501731
HSIL,661,1.2810426344812609,1.9751388102860374
HSIL,839,1.551131836039265,1.4930922020404593
Negative for intraepithelial lesion,240,1.0723738694110758,1.9867319650241193
HSIL,1038,1.6743041722660177,2.3027744164686794
HSIL,1050,1.1213749904928143,2.0318204251629033
ASC-H,912,1.1639659302092313,30.417812636426625
HSIL,992,1.994520532477033,0.966913397483761
