Class,Area,Compactness,Eccentricity
Negative for intraepithelial lesion,331,1.1018437979710978,0.7440918399584562
Negative for intraepithelial lesion,742,1.1968502056919161,0.5274972630813367
Negative for intraepithelial lesion,392,1.672570577648839,0.8097218300122386
Negative for intraepithelial lesion,683,1.1614057399256517,0.6922537248648237
Negative for intraepithelial lesion,315,1.628322845436967,0.9439221532582605
Negative for intraepithelial lesion,475,1.2584169597519552,0.6683370681411143
Negative for intraepithelial lesion,457,1.0965444182270903,0.52120282709347
Negative for intraepithelial lesion,327,1.0581691274921086,0.35637566897906453
Negative for intraepithelial lesion,438,1.1923858052796252,0.7149952214593326
Negative for intraepithelial lesion,727,1.689182217742529,0.7981874158275695
Negative for intraepithelial lesion,1033,1.9379915755799335,0.8220698079856905
Negative for intraepithelial lesion,585,3.426467023186037,0.7374107039730741
Negative for intraepithelial lesion,387,1.43704618881295,0.6261073997015915
Negative for intraepithelial lesion,441,1.096187598446675,0.5317019041913472
Negative for intraepithelial lesion,504,1.570721967902203,0.8547732111751993
Negative for intraepithelial lesion,536,1.2655300352405332,0.7536605711851913
Negative for intraepithelial lesion,355,1.2531738959009284,0.8289603469423659
ASC-US,1165,1.544444647168642,0.7152121247405948
ASC-US,2665,1.3176635013109057,0.7606313951293395
Negative for intraepithelial lesion,725,1.0633479159931274,0.5154906043699599
Negative for intraepithelial lesion,615,1.1920691264566596,0.7680877293435829
