Area,Compactness,Eccentricity,Class
3726,1.5107685198684688,0.1912637041878083,ASC-H
3085,1.2586487309759788,0.2903339208193637,ASC-H
1296,1.382002541762228,0.6499489653398954,ASC-H
1379,1.4606339866474842,0.6241219737705117,ASC-H
556,1.112993480019787,0.47577161691176445,ASC-H
1958,1.2143121666604362,0.7779796227896776,ASC-H
696,1.1587047966470032,0.49137102953874867,ASC-H
702,1.1488013450088597,0.4994108434560477,ASC-H
382,1.085440042675688,0.7021209465368118,ASC-H
316,1.040668706001244,0.5007058827778219,ASC-H
436,1.0756764427963375,0.5581592481602559,ASC-H
518,1.2332661363704651,0.8523772832937943,ASC-H
447,1.1446046546130006,0.6618622460559404,ASC-H
1721,2.1723846333122827,0.8759872645032876,ASC-H
582,1.3062094833544384,0.69534868095373,ASC-H
552,1.154709166753328,0.735777555017384,ASC-H
1751,3.65689436200056,0.7049873456241076,ASC-H
1714,5.628778581335899,0.6355202621041595,ASC-H
925,1.5861022111884722,0.668423288994234,ASC-H
2016,4.47585783430722,0.6296909309179107,ASC-H
667,1.6841428796689306,0.5243376121544691,ASC-H
814,1.3969656404141082,0.6484971387957693,ASC-H
982,2.124713848129558,0.7623975492885008,ASC-H
1656,4.3601195793105765,0.6095190616143954,ASC-H
4239,1.800832281823757,0.6160555653959001,ASC-H
3166,2.0519616063245336,0.6461775989089653,ASC-H
2722,2.890729114374737,0.8980414821059673,ASC-H
3140,1.6384778463635352,0.8168210754211841,ASC-H
1002,1.4948755863712546,0.6836006993442626,ASC-H
908,1.4807296092824267,0.9013183833325065,ASC-H
1486,1.5765522413752753,0.5598130097425408,ASC-H
1210,1.3884007771821374,0.7154958302142123,ASC-H
1804,1.6974749728136989,0.7491520222325277,ASC-H
1643,2.171141431076857,0.6482902173001938,ASC-H
2941,5.41377127233491,0.9216398514728458,ASC-H
3359,2.5163238582725103,0.8419483445878718,ASC-H
2647,3.2265437115900033,0.7953668589287405,ASC-H
2424,2.356266761566743,0.7188160228541866,ASC-H
1160,1.5581891895639244,0.4925844867917621,ASC-H
1895,1.2208967270387039,0.5125430469444259,ASC-H
897,2.5676357272304036,0.6139942560473531,ASC-H
1042,1.2055231926495489,0.6555621309164009,ASC-H
1600,2.212077927358402,0.7421333924871222,ASC-H
863,1.4095957561663763,0.7397186258462021,ASC-H
651,2.156147314007139,0.8133737677363452,ASC-H
2033,3.2336336544402586,0.8060927243474818,ASC-H
871,2.075200288537274,0.8945563893349687,ASC-H
2452,3.1663103802961823,0.8190876873702804,ASC-H
1753,1.5097437997675198,0.8778771098542735,ASC-H
1669,1.624968888766818,0.8810300142957753,ASC-H
877,2.0582548510898904,0.5371751285049594,ASC-H
1136,1.2120528577928071,0.7667759030255304,ASC-H
1081,2.668948051256221,0.6924001051409401,ASC-H
769,1.1752272112175597,0.7337185902130294,ASC-H
1677,2.0312095073082794,0.5243337865391664,ASC-H
731,1.249948705377284,0.6929462278423656,ASC-H
703,1.2482864659654982,0.6546340271776487,ASC-H
728,1.617367787429678,0.7625545057089264,ASC-H
3223,2.9843465844307095,0.4797779012159006,ASC-H
4858,2.166373000941017,0.9913578109444712,ASC-H
962,2.1145383393178525,0.8651402655797479,ASC-H
2043,5.023432396035837,0.6174009328302879,ASC-H
1640,4.849876368946023,0.5622872992391316,ASC-H
3093,2.182876754866607,0.900942486952151,ASC-H
4177,3.1910120683774585,0.743990979214709,ASC-H
2465,2.11277697927962,0.7889759830037383,ASC-H
6432,1.4323191816529446,0.7516016839038487,ASC-H
1388,1.4316896457657038,0.6211875449668436,ASC-US
756,1.3223604399427915,0.5111078115834512,ASC-US
1084,4.450058347468405,0.7269348516116453,ASC-US
480,2.0142447006957784,0.9115268886521454,ASC-US
671,1.0948713051748096,0.3761623585011122,ASC-US
879,1.7591704442861908,0.48304423752362785,ASC-US
1272,1.1935673098153947,0.6064053349937057,ASC-US
4267,5.023825689552878,0.640807394024214,ASC-US
1928,1.5412259848941348,0.7308043783279774,ASC-US
733,1.5539467516636842,0.6598771397635904,ASC-US
735,1.345962152130635,0.5489885916380676,ASC-US
1398,1.1576678470327786,0.6019822095812076,ASC-US
1412,1.308399294737973,0.7321837050500327,ASC-US
909,1.59676135366759,0.7356942076489119,ASC-US
1703,1.2266940377100073,0.756400358531318,ASC-US
1214,2.0694483683234957,0.9243714697390453,ASC-US
840,1.382690931052576,0.5526782205189257,ASC-US
1634,1.1480903998309386,0.48641401838943454,ASC-US
1131,1.9394174131969564,0.7397090807506863,ASC-US
2042,1.1821259467901803,0.7393823671073889,ASC-US
1296,1.7024094979276803,0.54657410992488,ASC-US
582,1.525881193518343,0.48071290425207625,ASC-US
1436,1.110167692056282,0.6454978067502389,ASC-US
1200,1.163673337073255,0.7543570674256826,ASC-US
775,1.1972841691998903,0.7608454859125113,ASC-US
1666,1.814320679369374,0.7827243646899669,ASC-US
1824,1.7813606450263573,0.7150529932367115,ASC-US
2081,1.3623935888758583,0.6176128797400919,ASC-US
3432,10.569813885844285,0.5707398276498449,ASC-US
1712,3.27459878876272,0.85346114962165,ASC-US
1653,1.5584572642806982,0.4018619387159673,ASC-US
2119,2.082418798831846,0.7370122839238041,ASC-US
2850,5.154283879613097,0.7894681820870294,ASC-US
2323,4.842763620326981,0.8563312322630099,ASC-US
